fipscounty,pred,predict_date,k
6099,8781.744510627508,2020-08-12,14
6099,8563.117995422004,2020-08-11,14
6099,8502.466886538055,2020-08-10,14
6099,8252.564848740347,2020-08-09,14
6099,8112.672816801724,2020-08-08,14
6099,7840.065202502624,2020-08-07,14
6099,7626.803495916178,2020-08-06,14
6099,7186.182679860728,2020-08-05,14
6099,7030.200968922772,2020-08-04,14
6099,6686.739667232075,2020-08-03,14
6099,6515.816393032568,2020-08-02,14
6099,6387.327148184718,2020-08-01,14
6099,5923.195995286256,2020-07-31,14
6099,5924.475601628022,2020-07-30,14
6099,5653.378054613771,2020-07-29,14
6099,5486.220020533718,2020-07-28,14
6099,5301.790537201462,2020-07-27,14
6099,5089.027557914681,2020-07-26,14
6099,4839.416403687464,2020-07-25,14
6099,4737.730673416305,2020-07-24,14
6099,3057.5255181670896,2020-07-23,14
6099,3057.9222206243417,2020-07-22,14
6099,2940.4572677307374,2020-07-21,14
6099,2808.856942258935,2020-07-20,14
6099,2707.3202099132027,2020-07-19,14
6099,2627.2035707277296,2020-07-18,14
6099,2576.7420651095185,2020-07-17,14
6099,2434.3605592069835,2020-07-16,14
6099,2352.1715697208965,2020-07-15,14
6099,2296.4552640804695,2020-07-14,14
6099,2204.963825600361,2020-07-13,14
6099,2154.507252436567,2020-07-12,14
6099,2037.7522029069953,2020-07-11,14
6099,1977.1194841985518,2020-07-10,14
6099,1907.3033709796932,2020-07-09,14
6099,1824.240468232246,2020-07-08,14
6099,1748.0733665706775,2020-07-07,14
6099,1671.6405763657797,2020-07-06,14
6099,1631.2224091213868,2020-07-05,14
6099,1545.0871928574052,2020-07-04,14
6099,1503.652967820056,2020-07-03,14
6099,1433.5344092175317,2020-07-02,14
6099,1350.1946157202692,2020-07-01,14
6099,1294.3656993720776,2020-06-30,14
6099,1269.31065144036,2020-06-29,14
6099,1239.1164391822863,2020-06-28,14
6099,1135.6840174034164,2020-06-27,14
6099,1115.7163651672258,2020-06-26,14
6099,1097.6772559388387,2020-06-25,14
6099,1048.0245845329075,2020-06-24,14
6099,1015.6931445411043,2020-06-23,14
6099,960.939236477963,2020-06-22,14
6099,924.5137453179931,2020-06-21,14
6099,888.2048076242164,2020-06-20,14
6099,863.063076474456,2020-06-19,14
6099,838.8510331384429,2020-06-18,14
6099,814.554162981884,2020-06-17,14
6099,789.1711496667384,2020-06-16,14
6099,772.0246418289163,2020-06-15,14
6099,766.278367838842,2020-06-14,14
6099,740.031645641974,2020-06-13,14
6099,720.897450645354,2020-06-12,14
6099,704.8639319184255,2020-06-11,14
6099,698.9289622268838,2020-06-10,14
6099,691.9558125239078,2020-06-09,14
6099,681.0722977722957,2020-06-08,14
6099,668.1500252161516,2020-06-07,14
6099,651.2007729867076,2020-06-06,14
6099,643.2757029088859,2020-06-05,14
6099,633.3889348178222,2020-06-04,14
6099,620.3545108102663,2020-06-03,14
6099,615.6366408707651,2020-06-02,14
6099,609.8106613921409,2020-06-01,14
6099,593.7642294914145,2020-05-31,14
6099,581.8963476369287,2020-05-30,14
6099,566.8274707786096,2020-05-29,14
6099,559.9720145228185,2020-05-28,14
6099,549.0042445144358,2020-05-27,14
6099,540.142257644595,2020-05-26,14
6099,531.3615876210912,2020-05-25,14
6099,524.4523274089744,2020-05-24,14
6099,519.9782863579616,2020-05-23,14
6099,512.2096294077145,2020-05-22,14
6099,500.3751285250198,2020-05-21,14
6099,485.33590392845093,2020-05-20,14
6099,456.6749253679441,2020-05-19,14
6099,452.1216218821664,2020-05-18,14
6099,434.8996861339893,2020-05-17,14
6099,424.027169814769,2020-05-16,14
6099,403.6729349048961,2020-05-15,14
6099,398.18787632297506,2020-05-14,14
6099,361.9645107307554,2020-05-13,14
6099,346.5759386623104,2020-05-12,14
6099,334.4293815101799,2020-05-11,14
6099,316.14878689836854,2020-05-10,14
6099,308.62148168624196,2020-05-09,14
6099,285.90718433990713,2020-05-08,14
6099,280.1355761693096,2020-05-07,14
6099,273.51012578063035,2020-05-06,14
6099,258.0863825078901,2020-05-05,14
6099,254.42973195227285,2020-05-04,14
6099,248.65575077266072,2020-05-03,14
6099,243.88499718966068,2020-05-02,14
6099,228.7804794924245,2020-05-01,14
6099,208.88630715616986,2020-04-30,14
6099,198.96474730492392,2020-04-29,14
6099,184.4117215532186,2020-04-28,14
6099,0,2020-04-27,14
6099,0,2020-04-26,14
6099,0,2020-04-25,14
6099,0,2020-04-24,14
6099,0,2020-04-23,14
6099,0,2020-04-22,14
6099,0,2020-04-21,14
6099,0,2020-04-20,14
6099,0,2020-04-19,14
6099,0,2020-04-18,14
6099,0,2020-04-17,14
6099,0,2020-04-16,14
6099,0,2020-04-15,14
6099,0,2020-04-14,14
6099,0,2020-04-13,14
6099,0,2020-04-12,14
6099,0,2020-04-11,14
6099,0,2020-04-10,14
6099,0,2020-04-09,14
6099,0,2020-04-08,14
6099,0,2020-04-07,14
6099,0,2020-04-06,14
6099,0,2020-04-05,14
6099,0,2020-04-04,14
6099,0,2020-04-03,14
6099,0,2020-04-02,14
6099,0,2020-04-01,14
6099,0,2020-03-31,14
6099,0,2020-03-30,14
6099,0,2020-03-29,14
6099,0,2020-03-28,14
6099,0,2020-03-27,14
6099,0,2020-03-26,14
6097,11552.048108616376,2020-12-04,14
6097,11553.439488072912,2020-12-03,14
6097,11363.813799437701,2020-12-02,14
6097,11283.7902972097,2020-12-01,14
6097,11196.349676421958,2020-11-30,14
6097,11067.023076292304,2020-11-29,14
6097,11068.721933626764,2020-11-28,14
6097,10896.848936574994,2020-11-27,14
6097,10822.27552420393,2020-11-26,14
6097,10718.298835088224,2020-11-25,14
6097,10635.384846433792,2020-11-24,14
6097,10533.296082896284,2020-11-23,14
6097,10454.39703907503,2020-11-22,14
6097,10456.087592836628,2020-11-21,14
6097,10319.647980666967,2020-11-20,14
6097,10242.465903728578,2020-11-19,14
6097,10151.868287040574,2020-11-18,14
6097,10062.41112267329,2020-11-17,14
6097,9982.830070669717,2020-11-16,14
6097,9834.811103726948,2020-11-15,14
6097,9836.21851273357,2020-11-14,14
6097,9837.558236583815,2020-11-13,14
6097,9758.463492505274,2020-11-12,14
6097,9681.293878695818,2020-11-11,14
6097,9682.732150542422,2020-11-10,14
6097,9494.068637571698,2020-11-09,14
6097,9340.001414470029,2020-11-08,14
6097,9340.943759273503,2020-11-07,14
6097,9275.54215397984,2020-11-06,14
6097,9249.381603219987,2020-11-05,14
6097,9190.349817930777,2020-11-04,14
6097,9106.063576233806,2020-11-03,14
6097,9027.732997618119,2020-11-02,14
6097,8978.758470500914,2020-11-01,14
6097,8883.12778770946,2020-10-31,14
6097,8778.033815121631,2020-10-30,14
6097,8779.36156155133,2020-10-29,14
6097,8721.208220214196,2020-10-28,14
6097,8661.382787737066,2020-10-27,14
6097,8581.3534106263,2020-10-26,14
6097,8424.568687618925,2020-10-25,14
6097,8425.474113605313,2020-10-24,14
6097,8426.709489369761,2020-10-23,14
6097,8233.526325417222,2020-10-22,14
6097,8186.603944306858,2020-10-21,14
6097,8086.948812173978,2020-10-20,14
6097,8005.915298960511,2020-10-19,14
6097,7806.778147501436,2020-10-18,14
6097,7807.952201211267,2020-10-17,14
6097,7808.863108129366,2020-10-16,14
6097,7716.232037737808,2020-10-15,14
6097,7544.815063886899,2020-10-14,14
6097,7545.520796952774,2020-10-13,14
6097,7546.312759090907,2020-10-12,14
6097,7547.225705586994,2020-10-11,14
6097,7503.929640577693,2020-10-10,14
6097,7393.821854770004,2020-10-09,14
6097,7356.182870581162,2020-10-08,14
6097,7289.9057137805285,2020-10-07,14
6097,7240.711557505685,2020-10-06,14
6097,7187.854241511063,2020-10-05,14
6097,7113.301129889954,2020-10-04,14
6097,7114.425073171152,2020-10-03,14
6097,7115.427261606882,2020-10-02,14
6097,6999.418721832134,2020-10-01,14
6097,6859.354942107074,2020-09-30,14
6097,6859.936151047732,2020-09-29,14
6097,6822.31986822033,2020-09-28,14
6097,6742.595984740704,2020-09-27,14
6097,6743.656442362605,2020-09-26,14
6097,6680.293514638491,2020-09-25,14
6097,6634.756255890513,2020-09-24,14
6097,6635.324662605298,2020-09-23,14
6097,6474.428264293908,2020-09-22,14
6097,6475.524297807534,2020-09-21,14
6097,6417.6423969662765,2020-09-20,14
6097,6418.760502143378,2020-09-19,14
6097,6253.015789960922,2020-09-18,14
6097,6176.568410691698,2020-09-17,14
6097,6022.7880130077165,2020-09-16,14
6097,5902.685043554734,2020-09-15,14
6097,5818.559708290066,2020-09-14,14
6097,5753.483477336,2020-09-13,14
6097,5686.3661179806595,2020-09-12,14
6097,5564.199568100529,2020-09-11,14
6097,5516.550948034903,2020-09-10,14
6097,5443.9270802796,2020-09-09,14
6097,5301.24163038386,2020-09-08,14
6097,5206.82775778647,2020-09-07,14
6097,5153.357004105384,2020-09-06,14
6097,5025.624140331505,2020-09-05,14
6097,4945.009985344054,2020-09-04,14
6097,4859.009908796504,2020-09-03,14
6097,4739.248248153106,2020-09-02,14
6097,4537.227477765278,2020-09-01,14
6097,4447.120576603975,2020-08-31,14
6097,4361.460389655267,2020-08-30,14
6097,4222.940763561229,2020-08-29,14
6097,4127.184884840951,2020-08-28,14
6097,3918.8861342037894,2020-08-27,14
6097,3884.493062045572,2020-08-26,14
6097,3811.0374799681485,2020-08-25,14
6097,3726.11402583821,2020-08-24,14
6097,3726.6001390544307,2020-08-23,14
6097,3610.606202576672,2020-08-22,14
6097,3483.2755741768983,2020-08-21,14
6097,3256.1590905448193,2020-08-20,14
6097,3256.3116821751355,2020-08-19,14
6097,3159.7277822211654,2020-08-18,14
6097,3159.808767420466,2020-08-17,14
6097,3101.127779616403,2020-08-16,14
6097,2988.5513341253454,2020-08-15,14
6097,2884.943933092928,2020-08-14,14
6097,2789.152036311678,2020-08-13,14
6097,2789.3741229046036,2020-08-12,14
6097,2655.55620937842,2020-08-11,14
6097,2608.2015116755915,2020-08-10,14
6097,2596.7625247877218,2020-08-09,14
6097,2502.3525849015373,2020-08-08,14
6097,2439.466088053275,2020-08-07,14
6097,2333.8852530972035,2020-08-06,14
6097,2274.2236210005904,2020-08-05,14
6097,2274.374574162126,2020-08-04,14
6097,2201.61804091014,2020-08-03,14
6097,2153.220170483012,2020-08-02,14
6097,2099.7634610224122,2020-08-01,14
6097,2058.3671783115064,2020-07-31,14
6097,2009.7497869429064,2020-07-30,14
6097,1971.4162032258407,2020-07-29,14
6097,1915.7158375483884,2020-07-28,14
6097,1848.0297991535895,2020-07-27,14
6097,1730.4447039629456,2020-07-26,14
6097,1676.8766015495175,2020-07-25,14
6097,1586.7314380423425,2020-07-24,14
6097,1544.2638628564425,2020-07-23,14
6097,1511.839273904181,2020-07-22,14
6097,1490.7237832671772,2020-07-21,14
6097,1382.292597668238,2020-07-20,14
6097,1382.5953184817151,2020-07-19,14
6097,1382.8415396049886,2020-07-18,14
6097,1289.8578609230642,2020-07-17,14
6097,1251.5837870496377,2020-07-16,14
6097,1207.186958772382,2020-07-15,14
6097,1157.662940457022,2020-07-14,14
6097,1139.6087905053444,2020-07-13,14
6097,1113.4989347278338,2020-07-12,14
6097,1113.8125214790407,2020-07-11,14
6097,1026.69768955237,2020-07-10,14
6097,994.3926575640498,2020-07-09,14
6097,976.3458846877703,2020-07-08,14
6097,955.1275408544612,2020-07-07,14
6097,904.3012632528703,2020-07-06,14
6097,871.9322353139416,2020-07-05,14
6097,853.9229404022703,2020-07-04,14
6097,840.8758264401071,2020-07-03,14
6097,821.7023312870335,2020-07-02,14
6097,792.364828250102,2020-07-01,14
6097,783.3544185831904,2020-06-30,14
6097,776.4763490830635,2020-06-29,14
6097,770.5745526404041,2020-06-28,14
6097,740.2533428641641,2020-06-27,14
6097,719.0903461263125,2020-06-26,14
6097,697.8495511858364,2020-06-25,14
6097,688.8578258512574,2020-06-24,14
6097,689.0712397618108,2020-06-23,14
6097,670.9305735921347,2020-06-22,14
6097,659.9333025821,2020-06-21,14
6097,641.8604306453285,2020-06-20,14
6097,627.839074268187,2020-06-19,14
6097,610.6802292310066,2020-06-18,14
6097,610.8698632691218,2020-06-17,14
6097,583.3748944461511,2020-06-16,14
6097,581.5286659961507,2020-06-15,14
6097,570.5541687289922,2020-06-14,14
6097,565.7218121837707,2020-06-13,14
6097,548.5478126302469,2020-06-12,14
6097,548.8486830155522,2020-06-11,14
6097,541.8327549388945,2020-06-10,14
6097,542.0015016055257,2020-06-09,14
6097,517.6534474426777,2020-06-08,14
6097,499.47424510811,2020-06-07,14
6097,484.4411911225218,2020-06-06,14
6097,484.6702192822394,2020-06-05,14
6097,449.9058047345185,2020-06-04,14
6097,427.4638026230852,2020-06-03,14
6097,407.11387794547454,2020-06-02,14
6097,403.24281758087744,2020-06-01,14
6097,389.0828434953034,2020-05-31,14
6097,380.12391856021793,2020-05-30,14
6097,380.4237230426833,2020-05-29,14
6097,367.2051116364075,2020-05-28,14
6097,348.82567464525766,2020-05-27,14
6097,327.30082206645613,2020-05-26,14
6097,324.54966439855986,2020-05-25,14
6097,324.77129564401474,2020-05-24,14
6097,315.84838386657503,2020-05-23,14
6097,307.8392572943272,2020-05-22,14
6097,308.26986368737005,2020-05-21,14
6097,302.3771553207284,2020-05-20,14
6097,276.5514945492722,2020-05-19,14
6097,277.0168308898858,2020-05-18,14
6097,0,2020-05-17,14
6097,0,2020-05-16,14
6097,0,2020-05-15,14
6097,0,2020-05-14,14
6097,0,2020-05-13,14
6097,0,2020-05-12,14
6097,0,2020-05-11,14
6097,0,2020-05-10,14
6097,0,2020-05-09,14
6097,0,2020-05-08,14
6097,0,2020-05-07,14
6097,0,2020-05-06,14
6097,0,2020-05-05,14
6097,0,2020-05-04,14
6097,0,2020-05-03,14
6097,0,2020-05-02,14
6097,0,2020-05-01,14
6097,0,2020-04-30,14
6097,0,2020-04-29,14
6097,0,2020-04-28,14
6097,0,2020-04-27,14
6097,0,2020-04-26,14
6097,0,2020-04-25,14
6097,0,2020-04-24,14
6097,0,2020-04-23,14
6097,0,2020-04-22,14
6097,0,2020-04-21,14
6097,0,2020-04-20,14
6097,0,2020-04-19,14
6097,0,2020-04-18,14
6097,0,2020-04-17,14
6097,0,2020-04-16,14
6097,0,2020-04-15,14
6097,0,2020-04-14,14
6097,0,2020-04-13,14
6097,0,2020-04-12,14
6097,0,2020-04-11,14
6097,0,2020-04-10,14
6097,0,2020-04-09,14
6097,0,2020-04-08,14
6097,0,2020-04-07,14
6097,0,2020-04-06,14
6097,0,2020-04-05,14
6097,0,2020-04-04,14
6097,0,2020-04-03,14
6097,0,2020-04-02,14
6097,0,2020-04-01,14
6097,0,2020-03-31,14
6097,0,2020-03-30,14
6097,0,2020-03-29,14
6097,0,2020-03-28,14
6097,0,2020-03-27,14
6097,0,2020-03-26,14
6097,0,2020-03-25,14
6097,0,2020-03-24,14
6097,0,2020-03-23,14
6097,0,2020-03-22,14
6097,0,2020-03-21,14
6097,0,2020-03-20,14
6097,0,2020-03-19,14
6097,0,2020-03-18,14
6097,0,2020-03-17,14
6097,0,2020-03-16,14
6095,9503.551547462584,2020-12-04,14
6095,9444.268342576008,2020-12-03,14
6095,9311.01370134299,2020-12-02,14
6095,9236.56614829621,2020-12-01,14
6095,9104.159803116985,2020-11-30,14
6095,8867.409361313512,2020-11-29,14
6095,8868.450396780034,2020-11-28,14
6095,8869.585537944473,2020-11-27,14
6095,8733.166669065804,2020-11-26,14
6095,8562.575767569693,2020-11-25,14
6095,8563.650485631375,2020-11-24,14
6095,8498.3152207474,2020-11-23,14
6095,8257.461942799835,2020-11-22,14
6095,8258.556619355786,2020-11-21,14
6095,8259.478973445737,2020-11-20,14
6095,8119.831393785534,2020-11-19,14
6095,8062.889751420553,2020-11-18,14
6095,7969.969779238221,2020-11-17,14
6095,7920.951787822662,2020-11-16,14
6095,7749.692001890614,2020-11-15,14
6095,7750.563101805551,2020-11-14,14
6095,7751.348894101883,2020-11-13,14
6095,7702.635575797682,2020-11-12,14
6095,7593.972041130051,2020-11-11,14
6095,7558.801411507348,2020-11-10,14
6095,7496.48089332351,2020-11-09,14
6095,7396.16247690294,2020-11-08,14
6095,7396.7581779311395,2020-11-07,14
6095,7397.565750149136,2020-11-06,14
6095,7359.971288601283,2020-11-05,14
6095,7314.75359776704,2020-11-04,14
6095,7280.423641308537,2020-11-03,14
6095,7225.233841446491,2020-11-02,14
6095,7114.564473491689,2020-11-01,14
6095,7115.372527402694,2020-10-31,14
6095,7056.3207228402935,2020-10-30,14
6095,7057.209137044512,2020-10-29,14
6095,7013.680309807742,2020-10-28,14
6095,6981.014356809505,2020-10-27,14
6095,6852.064237318556,2020-10-26,14
6095,6852.728272732186,2020-10-25,14
6095,6853.325083599673,2020-10-24,14
6095,6854.153275834793,2020-10-23,14
6095,6811.633431409206,2020-10-22,14
6095,6760.748300047235,2020-10-21,14
6095,6726.507091178072,2020-10-20,14
6095,6703.5296900255435,2020-10-19,14
