"","date","county","arima.pred","arima.w","ma.pred","ma.w","clep"
"273",2020-08-20,6039,3372.38824934921,0.139594199544606,3482.57038080139,0.860405800455394,3467.18959435721
"274",2020-08-20,6019,21757.1337421662,0.323161660936598,22010.3979451867,0.676838339063402,21928.5526646828
"275",2020-08-20,6095,5113.18360549077,0.583904597375534,5053.65004683406,0.416095402624466,5088.41196543184
"276",2020-08-20,6099,13752.402081943,0.702436251486222,14784.9560031153,0.297563748513778,14059.6526972697
"277",2020-08-20,6107,12984.7193904414,0.320881970223919,13436.4734572769,0.679118029776081,13291.5137222541
"278",2020-08-20,6041,6075.39897012648,0.832381243330524,6029.04718505288,0.167618756669476,6067.62954154303
"279",2020-08-20,6047,7735.97770523392,0.0537573654547361,8447.23015319262,0.946242634545264,8408.99509541713
"280",2020-08-20,6055,1351.38429795934,0.48340935301661,1335.98569406161,0.51659064698339,1343.42952320917
"281",2020-08-21,6085,15950.0678991959,0.421499693926965,16515.4578380054,0.578500306073035,16277.1461518478
"282",2020-08-21,6081,7486.93910554072,0.316451807856052,7625.26939468157,0.683548192143948,7581.4945246017
"283",2020-08-21,6097,4763.83124932899,0.411481633482439,4804.57667286587,0.588518366517561,4787.81067943198
"284",2020-08-21,6001,16373.9538662874,0.0381575020362565,16675.6208837947,0.961842497963743,16664.1100239599
"285",2020-08-21,6013,12636.7241167463,0.312516646062562,12964.6216650691,0.687483353937438,12862.1482230151
"286",2020-08-21,6075,8846.68720404953,0.487822903766606,8868.12591826747,0.512177096233394,8857.66762244465
"287",2020-08-21,6039,3226.05009157134,0.138410304585468,3482.57038080139,0.861589695414532,3447.06532943671
"288",2020-08-21,6019,21571.7507592773,0.286272132922862,22010.3979451867,0.713727867077138,21884.8254796758
"289",2020-08-21,6095,5047.65955277833,0.632115690873141,5053.65004683406,0.367884309126859,5049.86336154535
"290",2020-08-21,6099,13840.4740703311,0.378711230282936,14796.0975587827,0.621288769717064,14434.1922117839
"291",2020-08-21,6107,13060.3229409943,0.906496092304904,13436.4734572769,0.0935039076950958,13095.4944841483
"292",2020-08-21,6041,6061.60709265554,0.46525067300114,6029.04718505288,0.53474932699886,6044.19570397787
"293",2020-08-21,6047,7618.11105594117,0.864487422075392,8447.23015319262,0.135512577924608,7730.46712221624
"294",2020-08-21,6055,1365.5070425523,0.584908921639536,1335.98569406161,0.415091078360464,1353.25299417265
"295",2020-08-22,6085,16515.3547893299,0.169371349175839,16205.7568456407,0.830628650824161,16258.1938670654
"296",2020-08-22,6081,7690.94094706862,0.231637809350463,7811.90879933462,0.768362190649537,7783.8880710339
"297",2020-08-22,6097,4863.61916507616,0.383549693259713,4965.89292772895,0.616450306740286,4926.66585743496
"298",2020-08-22,6001,16401.0322334051,0.456879715318266,16671.929742903,0.543120284681734,16548.1621658832
"299",2020-08-22,6013,12586.9736766818,0.382808421092836,13098.1549416013,0.617191578907164,12902.4704486852
"300",2020-08-22,6075,8860.43010593908,0.564242610806113,8904.35910628477,0.435757389193887,8879.57249243962
"301",2020-08-22,6039,3529.48159841216,0.37771642321132,3727.16909794757,0.62228357678868,3652.49928270946
"302",2020-08-22,6019,23303.2026616063,0.216355283542154,23624.9250779023,0.783644716457846,23555.3187333027
"303",2020-08-22,6095,5087.27938367459,0.654414208296621,5155.54077425104,0.345585791703379,5110.86955037973
"304",2020-08-22,6099,13891.5939195095,0.887766978774179,14739.6375429457,0.112233021225821,13986.772417499
"305",2020-08-22,6107,13460.4214726,0.946681347090519,13739.8783211301,0.0533186529094814,13475.32173531
"306",2020-08-22,6041,6144.33089290492,0.321140105644044,6095.86490845145,0.678859894355956,6111.42927981898
"307",2020-08-22,6047,7923.69506336392,0.950123572144644,8161.44871384115,0.0498764278553563,7935.55336615929
"308",2020-08-22,6055,1353.69851640451,0.453811703863804,1384.57328740396,0.546188296136196,1370.5619549703
